"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","task","trial","dataset"
"1",1,"Unemployment",221,"Dem",4.7,4.7,5,4.9,"D","decentralized",1,1,NA,4.7,5,"Unemployment","D1decentralized1Dem","becker 2019"
"2",2,"Unemployment",262,"Dem",4.4,4.4,4.4,4.9,"D","decentralized",1,1,NA,4.4,4.4,"Unemployment","D1decentralized1Dem","becker 2019"
"3",3,"Election",262,"Dem",250,300,225,224.6,"D","decentralized",1,1,NA,250,225,"Election","D1decentralized1Dem","becker 2019"
"4",4,"Taxes",213,"Dem",15,18,18,14.6,"D","decentralized",1,1,NA,15,18,"Taxes","D1decentralized1Dem","becker 2019"
"5",5,"Election",263,"Dem",50,100,20,224.6,"D","decentralized",1,1,NA,50,20,"Election","D1decentralized1Dem","becker 2019"
"6",6,"Taxes",214,"Dem",12,14,14,14.6,"D","decentralized",1,1,NA,12,14,"Taxes","D1decentralized1Dem","becker 2019"
"7",7,"Election",222,"Dem",200,216,205,224.6,"D","decentralized",1,1,NA,200,205,"Election","D1decentralized1Dem","becker 2019"
"8",8,"California",263,"Dem",67,60,60,60.2,"D","decentralized",1,1,NA,67,60,"California","D1decentralized1Dem","becker 2019"
"9",9,"Election",212,"Dem",250,328,329,224.6,"D","decentralized",1,1,NA,250,329,"Election","D1decentralized1Dem","becker 2019"
"10",10,"Taxes",202,"Dem",35,20,39,14.6,"D","decentralized",1,1,NA,35,39,"Taxes","D1decentralized1Dem","becker 2019"
"11",11,"Unemployment",233,"Dem",6,6,6,4.9,"D","decentralized",1,1,NA,6,6,"Unemployment","D1decentralized1Dem","becker 2019"
"12",12,"Election",202,"Dem",150,200,190,224.6,"D","decentralized",1,1,NA,150,190,"Election","D1decentralized1Dem","becker 2019"
"13",13,"Taxes",233,"Dem",15,18,20,14.6,"D","decentralized",1,1,NA,15,20,"Taxes","D1decentralized1Dem","becker 2019"
"14",14,"Unemployment",219,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,"Unemployment","D1decentralized1Dem","becker 2019"
"15",15,"Election",208,"Dem",250,248,245,224.6,"D","decentralized",1,1,NA,250,245,"Election","D1decentralized1Dem","becker 2019"
"16",16,"Election",228,"Dem",234,232,234,224.6,"D","decentralized",1,1,NA,234,234,"Election","D1decentralized1Dem","becker 2019"
"17",17,"Taxes",208,"Dem",22,NA,NA,14.6,"D","decentralized",1,1,NA,22,NA,"Taxes","D1decentralized1Dem","becker 2019"
"18",18,"Election",213,"Dem",215,248,268,224.6,"D","decentralized",1,1,NA,215,268,"Election","D1decentralized1Dem","becker 2019"
"19",19,"California",220,"Dem",40,39,39,60.2,"D","decentralized",1,1,NA,40,39,"California","D1decentralized1Dem","becker 2019"
"20",20,"Unemployment",213,"Dem",5,4.8,4.8,4.9,"D","decentralized",1,1,NA,5,4.8,"Unemployment","D1decentralized1Dem","becker 2019"
"21",21,"Taxes",228,"Dem",15,17,20,14.6,"D","decentralized",1,1,NA,15,20,"Taxes","D1decentralized1Dem","becker 2019"
"22",22,"Unemployment",263,"Dem",9,5,4.7,4.9,"D","decentralized",1,1,NA,9,4.7,"Unemployment","D1decentralized1Dem","becker 2019"
"23",23,"Taxes",212,"Dem",25,39,35,14.6,"D","decentralized",1,1,NA,25,35,"Taxes","D1decentralized1Dem","becker 2019"
"24",24,"California",202,"Dem",45,48,5.4,60.2,"D","decentralized",1,1,NA,45,5.4,"California","D1decentralized1Dem","becker 2019"
"25",25,"Taxes",263,"Dem",18.3,18,18,14.6,"D","decentralized",1,1,NA,18.3,18,"Taxes","D1decentralized1Dem","becker 2019"
"26",26,"Election",240,"Dem",200,250,220,224.6,"D","decentralized",1,1,NA,200,220,"Election","D1decentralized1Dem","becker 2019"
"27",27,"Unemployment",202,"Dem",40,8,8,4.9,"D","decentralized",1,1,NA,40,8,"Unemployment","D1decentralized1Dem","becker 2019"
"28",28,"Unemployment",240,"Dem",8,9,8,4.9,"D","decentralized",1,1,NA,8,8,"Unemployment","D1decentralized1Dem","becker 2019"
"29",29,"Taxes",253,"Dem",12,27,26,14.6,"D","decentralized",1,1,NA,12,26,"Taxes","D1decentralized1Dem","becker 2019"
"30",30,"Unemployment",228,"Dem",6,6,6,4.9,"D","decentralized",1,1,NA,6,6,"Unemployment","D1decentralized1Dem","becker 2019"
"31",31,"California",262,"Dem",45,48,45,60.2,"D","decentralized",1,1,NA,45,45,"California","D1decentralized1Dem","becker 2019"
"32",32,"Taxes",240,"Dem",25,23,22,14.6,"D","decentralized",1,1,NA,25,22,"Taxes","D1decentralized1Dem","becker 2019"
"33",33,"California",276,"Dem",55,30,28,60.2,"D","decentralized",1,1,NA,55,28,"California","D1decentralized1Dem","becker 2019"
"34",34,"Election",258,"Dem",189,170,180,224.6,"D","decentralized",1,1,NA,189,180,"Election","D1decentralized1Dem","becker 2019"
"35",35,"Election",271,"Dem",320,290,275,224.6,"D","decentralized",1,1,NA,320,275,"Election","D1decentralized1Dem","becker 2019"
"36",36,"Unemployment",229,"Dem",45,7,8,4.9,"D","decentralized",1,1,NA,45,8,"Unemployment","D1decentralized1Dem","becker 2019"
"37",37,"Taxes",203,"Dem",16,22,20,14.6,"D","decentralized",1,1,NA,16,20,"Taxes","D1decentralized1Dem","becker 2019"
"38",38,"Unemployment",271,"Dem",5,4,5,4.9,"D","decentralized",1,1,NA,5,5,"Unemployment","D1decentralized1Dem","becker 2019"
"39",39,"Election",253,"Dem",132,167,219,224.6,"D","decentralized",1,1,NA,132,219,"Election","D1decentralized1Dem","becker 2019"
"40",40,"Unemployment",253,"Dem",NA,6,7,4.9,"D","decentralized",1,1,NA,NA,7,"Unemployment","D1decentralized1Dem","becker 2019"
"41",41,"Unemployment",226,"Dem",4,5,5,4.9,"D","decentralized",1,1,NA,4,5,"Unemployment","D1decentralized1Dem","becker 2019"
"42",42,"Taxes",220,"Dem",14,20,26,14.6,"D","decentralized",1,1,NA,14,26,"Taxes","D1decentralized1Dem","becker 2019"
"43",43,"California",233,"Dem",18,15,15,60.2,"D","decentralized",1,1,NA,18,15,"California","D1decentralized1Dem","becker 2019"
"44",44,"Election",203,"Dem",240,NA,222,224.6,"D","decentralized",1,1,NA,240,222,"Election","D1decentralized1Dem","becker 2019"
"45",45,"Election",254,"Dem",240,200,250,224.6,"D","decentralized",1,1,NA,240,250,"Election","D1decentralized1Dem","becker 2019"
"46",46,"California",203,"Dem",35,30,40,60.2,"D","decentralized",1,1,NA,35,40,"California","D1decentralized1Dem","becker 2019"
"47",47,"Unemployment",214,"Dem",4.8,6,5,4.9,"D","decentralized",1,1,NA,4.8,5,"Unemployment","D1decentralized1Dem","becker 2019"
"48",48,"Election",214,"Dem",225,300,300,224.6,"D","decentralized",1,1,NA,225,300,"Election","D1decentralized1Dem","becker 2019"
"49",49,"Election",226,"Dem",199,199,199,224.6,"D","decentralized",1,1,NA,199,199,"Election","D1decentralized1Dem","becker 2019"
"50",50,"Election",275,"Dem",150,70,120,224.6,"D","decentralized",1,1,NA,150,120,"Election","D1decentralized1Dem","becker 2019"
"51",51,"Taxes",219,"Dem",19,19.5,19,14.6,"D","decentralized",1,1,NA,19,19,"Taxes","D1decentralized1Dem","becker 2019"
"52",52,"Taxes",226,"Dem",22.5,22,25,14.6,"D","decentralized",1,1,NA,22.5,25,"Taxes","D1decentralized1Dem","becker 2019"
