qtype,question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
populations,US,13,57,41442,324,300,4,5,342,5,24,18,1
populations,US,13,57,29147,324,500,2,6,500,6,176,176,0
populations,US,13,57,33246,324,40,7,1,400,2,284,76,1
populations,US,13,57,48265,324,500,5,4,500,5,176,176,0
populations,US,13,58,49469,324,10,5,3,360,5,314,36,1
populations,US,13,58,41784,324,330,2,6,335,7,6,11,0
populations,US,13,58,45669,324,330,5,5,330,5,6,6,0
populations,US,13,58,41802,324,700,6,3,330,5,376,6,1
populations,US,13,58,42992,324,25,6,2,350,5,299,26,1
populations,US,13,59,48871,324,350,4,5,350,5,26,26,0
populations,US,13,59,44302,324,350,3,5,360,5,26,36,0
populations,US,13,59,23107,324,400,4,5,340,5,76,16,1
populations,US,13,59,49811,324,355,4,4,365,4,31,41,0
populations,US,13,60,46132,324,315,5,3,317,5,9,7,1
populations,US,13,60,46991,324,320,3,6,320,1,4,4,0
populations,US,13,60,47540,324,330,2,5,320,4,6,4,1
populations,US,13,60,49323,324,325,2,6,325,2,1,1,0
populations,US,13,61,41302,324,320,4,4,320,4,4,4,0
populations,US,13,61,44915,324,320,5,3,315,5,4,9,0
populations,US,13,61,49863,324,300,5,5,300,6,24,24,0
populations,US,13,61,49279,324,215,6,3,315,3,109,9,1
populations,US,13,62,46795,324,500,6,3,400,4,176,76,1
populations,US,13,62,46018,324,238,6,4,325,4,86,1,1
populations,US,13,62,49233,324,350,3,5,330,6,26,6,1
populations,US,13,62,47479,324,330,3,5,340,5,6,16,0
populations,US,13,63,46207,324,350,5,3,360,3,26,36,0
populations,US,13,63,46295,324,380,3,5,360,5,56,36,1
populations,US,13,63,49824,324,380,3,5,350,4,56,26,1
populations,US,13,63,49044,324,320,3,5,320,5,4,4,0
populations,US,13,64,49210,324,300,4,5,315,5,24,9,1
populations,US,13,64,47551,324,300,4,5,350,5,24,26,0
populations,US,13,64,49404,324,300,3,6,330,6,24,6,1
populations,US,13,64,48699,324,330,2,6,330,6,6,6,0
populations,US,13,64,45804,324,300,4,5,350,5,24,26,0
populations,US,13,65,49617,324,250,4,4,250,4,74,74,0
populations,US,13,65,43543,324,300,4,4,270,4,24,54,0
populations,US,13,65,48777,324,350,6,4,350,4,26,26,0
populations,US,13,65,44618,324,255,4,5,255,5,69,69,0
populations,US,13,66,49665,324,350,4,5,350,5,26,26,0
