qtype,question,qcode,group,ID,Nametag,Correct,E1,Diff,C1,GC1,E2,C2,Mostaccurate,AEE1i,AEE2i,Ii,Prediction,Instruct
stocks,Adobe,21,149,45974,1,238,100,7,1,7,50,4,3,138,188,0,6,0
stocks,Adobe,21,149,51633,2,238,380,5,2,4,50,3,3,142,188,0,2,0
stocks,Adobe,21,149,31730,3,238,26,7,1,7,50,1,2,212,188,1,5,0
stocks,Adobe,21,149,29534,4,238,150,2,6,6,50,6,1,88,188,0,5,0
stocks,Adobe,21,150,51437,1,238,130,7,1,1,50,1,1,108,188,0,4,0
stocks,Adobe,21,150,46451,2,238,130,5,2,7,30,2,3,108,208,0,5,0
stocks,Adobe,21,150,49813,3,238,25,6,2,4,65,3,4,213,173,1,5,0
stocks,Adobe,21,150,45143,4,238,150,6,2,5,50,3,3,88,188,0,6,0
stocks,Adobe,21,151,51257,1,238,84,7,2,5,84,2,2,154,154,0,4,0
stocks,Adobe,21,151,45633,2,238,70,7,1,3,84,1,1,168,154,1,4,0
stocks,Adobe,21,151,51525,3,238,100,5,1,7,85,4,1,138,153,0,5,0
stocks,Adobe,21,151,51269,4,238,150,6,2,5,150,5,1,88,88,0,4,0
stocks,Adobe,21,152,51408,1,238,125,5,3,2,140,5,4,113,98,1,5,0
stocks,Adobe,21,152,51271,2,238,350,7,1,5,150,4,1,112,88,1,5,0
stocks,Adobe,21,153,14955,1,238,100,5,5,4,100,5,3,138,138,0,5,0
stocks,Adobe,21,153,29147,2,238,95,7,6,7,95,7,3,143,143,0,7,0
stocks,Adobe,21,153,49302,3,238,24,4,4,5,100,5,2,214,138,1,6,0
stocks,Adobe,21,153,1164,4,238,150,6,4,3,125,4,2,88,113,0,5,0
stocks,Adobe,21,153,51226,5,238,350,5,5,5,75,6,2,112,163,0,7,0
stocks,Adobe,21,154,45041,1,238,75,4,3,2,30,5,3,163,208,0,5,0
stocks,Adobe,21,154,33987,2,238,13,6,1,5,50,3,3,225,188,1,5,0
stocks,Adobe,21,154,44979,3,238,50,5,5,6,50,5,3,188,188,0,4,0
stocks,Adobe,21,154,45196,4,238,300,6,4,4,100,4,3,62,138,0,6,0
stocks,Adobe,21,155,44578,1,238,35,5,2,5,40,3,5,203,198,1,5,0
stocks,Adobe,21,155,51278,2,238,150,7,1,5,80,1,4,88,158,0,4,0
stocks,Adobe,21,155,51122,3,238,140,4,1,5,100,4,4,98,138,0,5,0
stocks,Adobe,21,155,43767,4,238,80,6,1,3,80,1,2,158,158,0,4,0
stocks,Adobe,21,155,44203,5,238,40,5,4,5,40,4,5,198,198,0,4,0
stocks,Adobe,21,156,42983,1,238,90,5,5,1,80,5,3,148,158,0,3,0
stocks,Adobe,21,156,30407,2,238,25,5,3,6,40,5,5,213,198,1,5,0
stocks,Adobe,21,156,50913,3,238,33,5,3,6,40,2,5,205,198,1,5,0
stocks,Adobe,21,156,45893,4,238,35,5,2,6,50,2,1,203,188,1,5,0
stocks,Adobe,21,156,50157,5,238,28,5,5,5,40,5,1,210,198,1,5,0
stocks,Adobe,21,157,51281,1,238,83,4,3,3,40,4,5,155,198,0,5,0
stocks,Adobe,21,157,46132,2,238,120,7,1,4,45,1,5,118,193,0,5,0
stocks,Adobe,21,157,51518,3,238,40,5,3,6,40,3,4,198,198,0,4,0
stocks,Adobe,21,157,49210,4,238,100,4,2,4,50,2,5,138,188,0,4,0
stocks,Adobe,21,157,28908,5,238,34,4,3,5,34,3,2,204,204,0,4,0
stocks,Adobe,21,158,49031,1,238,100,6,2,5,75,4,4,138,163,0,5,0
stocks,Adobe,21,158,44575,2,238,20,7,1,5,70,2,1,218,168,1,6,0
stocks,Adobe,21,158,49089,3,238,88,5,2,2,80,2,2,150,158,0,3,0
stocks,Adobe,21,158,38622,4,238,70,6,2,4,75,2,1,168,163,1,5,0
stocks,Adobe,21,159,47414,1,238,25,6,2,4,75,2,3,213,163,1,4,0
stocks,Adobe,21,159,50310,2,238,224,5,3,6,120,5,3,14,118,0,1,0
stocks,Adobe,21,159,51304,3,238,150,7,2,4,120,2,2,88,118,0,4,0
stocks,Adobe,21,159,51650,4,238,150,5,1,7,120,2,3,88,118,0,4,0
stocks,Adobe,21,160,45766,1,238,65,6,2,5,150,5,2,173,88,1,6,0
stocks,Adobe,21,160,46656,2,238,40,5,4,4,140,4,2,198,98,1,6,0
stocks,Adobe,21,160,50074,3,238,263,5,3,5,140,6,4,25,98,0,6,0
stocks,Adobe,21,160,49165,4,238,150,5,3,3,150,5,2,88,88,0,5,0
stocks,Adobe,21,161,51609,1,238,50,4,3,6,50,4,2,188,188,0,4,0
stocks,Adobe,21,161,37201,2,238,20,5,2,2,50,2,1,218,188,1,5,0
stocks,Adobe,21,161,45750,3,238,145,7,1,5,75,5,1,93,163,0,5,0
stocks,Adobe,21,161,45287,4,238,124,6,2,2,110,2,4,114,128,0,5,0
stocks,Adobe,21,162,50932,1,238,310,6,3,6,75,5,2,72,163,0,6,0
stocks,Adobe,21,162,50007,2,238,25,7,1,6,50,2,1,213,188,1,5,0
stocks,Adobe,21,162,45029,3,238,150,6,1,6,75,3,2,88,163,0,6,0
stocks,Adobe,21,163,46733,1,238,105,7,1,7,75,2,4,133,163,0,5,0
stocks,Adobe,21,163,44885,2,238,175,4,3,5,75,5,3,63,163,0,5,0
stocks,Adobe,21,163,47191,3,238,89,5,4,5,75,5,4,149,163,0,5,0
stocks,Adobe,21,163,45159,4,238,35,5,3,3,35,3,2,203,203,0,4,0
stocks,Adobe,21,164,27235,1,238,200,7,1,5,175,4,3,38,63,0,5,0
stocks,Adobe,21,164,51302,2,238,75,5,3,6,175,4,1,163,63,1,6,0
stocks,Adobe,21,164,50219,3,238,280,4,3,3,180,3,1,42,58,0,5,0
stocks,Adobe,21,164,51634,4,238,100,4,2,7,175,5,3,138,63,1,3,0
stocks,Adobe,21,165,16362,1,238,250,7,1,5,35,5,3,12,203,0,5,0
stocks,Adobe,21,165,50443,2,238,90,7,1,3,30,6,3,148,208,0,7,0
stocks,Adobe,21,165,48253,3,238,35,4,4,4,20,4,2,203,218,0,3,0
stocks,Adobe,21,165,48556,4,238,25,5,2,4,27,5,3,213,211,1,5,0
stocks,Adobe,21,166,49745,1,238,60,5,3,3,246,7,2,178,8,1,7,0
stocks,Adobe,21,166,51589,2,238,246,5,4,3,245,4,2,8,7,1,4,0
stocks,Adobe,21,166,40110,3,238,500,7,4,6,246,5,2,262,8,1,5,0
stocks,Adobe,21,167,51567,1,238,100,7,1,5,35,5,4,138,203,0,7,0
stocks,Adobe,21,167,51501,2,238,25,5,3,3,35,5,4,213,203,1,5,0
stocks,Adobe,21,167,51626,3,238,30,7,1,7,35,3,4,208,203,1,6,0
stocks,Adobe,21,167,50736,4,238,50,5,4,7,38,5,5,188,200,0,6,0
stocks,Adobe,21,167,47344,5,238,40,7,1,4,38,4,4,198,200,0,4,0
stocks,Adobe,21,168,50801,1,238,140,6,6,5,120,6,2,98,118,0,6,0
stocks,Adobe,21,168,50710,2,238,100,4,4,5,130,7,4,138,108,1,7,0
stocks,Adobe,21,168,44353,3,238,40,6,1,7,120,5,4,198,118,1,7,0
stocks,Adobe,21,168,48776,4,238,135,3,5,4,120,6,5,103,118,0,5,0
stocks,Adobe,21,168,47816,5,238,120,6,2,7,120,7,4,118,118,0,4,0
stocks,Adobe,21,169,51580,1,238,30,6,2,5,120,3,5,208,118,1,5,0
stocks,Adobe,21,169,51553,2,238,99,6,2,4,120,4,5,139,118,1,5,0
stocks,Adobe,21,169,46586,3,238,150,7,1,5,120,3,5,88,118,0,6,0
stocks,Adobe,21,169,43264,4,238,180,5,3,2,120,2,5,58,118,0,5,0
stocks,Adobe,21,169,51413,5,238,120,7,1,5,120,3,4,118,118,0,5,0
stocks,Adobe,21,170,49446,1,238,125,4,4,5,130,4,3,113,108,1,3,0
stocks,Adobe,21,170,46514,2,238,100,5,5,5,140,5,5,138,98,1,6,0
stocks,Adobe,21,170,593,3,238,200,6,2,7,180,5,5,38,58,0,6,0
stocks,Adobe,21,170,50499,4,238,500,4,4,4,180,4,5,262,58,1,5,0
stocks,Adobe,21,170,45667,5,238,180,4,5,6,180,6,3,58,58,0,4,0
stocks,Adobe,21,171,51449,1,238,67,6,4,6,67,5,3,171,171,0,4,1
stocks,Adobe,21,171,48497,2,238,80,7,1,7,67,1,3,158,171,0,5,1
stocks,Adobe,21,171,45801,3,238,50,7,1,6,67,1,2,188,171,1,5,1
stocks,Adobe,21,172,47082,1,238,70,4,3,5,90,4,2,168,148,1,5,1
stocks,Adobe,21,172,44723,2,238,170,6,2,6,90,5,1,68,148,0,6,1
stocks,Adobe,21,173,49762,1,238,120,5,1,6,55,4,4,118,183,0,6,1
stocks,Adobe,21,173,50235,2,238,150,7,2,3,50,5,4,88,188,0,7,1
stocks,Adobe,21,173,51239,3,238,50,7,1,3,45,5,4,188,193,0,5,1
stocks,Adobe,21,173,46670,4,238,40,5,5,2,40,6,3,198,198,0,6,1
stocks,Adobe,21,174,46408,1,238,75,7,1,5,35,1,3,163,203,0,5,1
stocks,Adobe,21,174,50152,2,238,45,5,1,5,45,1,3,193,193,0,5,1
stocks,Adobe,21,174,49650,3,238,45,5,1,7,45,1,2,193,193,0,4,1
stocks,Adobe,21,174,45675,4,238,32,6,1,5,35,1,3,206,203,1,5,1
stocks,Adobe,21,175,38914,1,238,100,6,2,6,90,3,4,138,148,0,5,1
stocks,Adobe,21,175,51613,2,238,24,6,2,4,90,3,4,214,148,1,6,1
stocks,Adobe,21,175,51586,3,238,200,7,1,5,70,2,4,38,168,0,6,1
stocks,Adobe,21,175,44142,4,238,100,4,3,3,70,4,2,138,168,0,5,1
stocks,Adobe,21,176,43119,1,238,58,4,3,5,58,4,3,180,180,0,4,1
stocks,Adobe,21,176,43395,2,238,150,6,1,5,58,5,3,88,180,0,6,1
stocks,Adobe,21,176,43082,3,238,32,6,2,5,78,2,1,206,160,1,5,1
stocks,Adobe,21,176,34872,4,238,300,6,1,5,50,3,3,62,188,0,5,1
stocks,Adobe,21,177,44869,1,238,120,6,2,5,75,5,2,118,163,0,5,1
stocks,Adobe,21,177,49084,2,238,125,5,5,5,75,7,4,113,163,0,5,1
stocks,Adobe,21,177,51445,3,238,230,5,2,4,75,4,4,8,163,0,5,1
stocks,Adobe,21,177,51417,4,238,67,3,4,4,75,4,2,171,163,1,4,1
stocks,Adobe,21,177,49110,5,238,20,6,1,5,80,3,4,218,158,1,6,1
stocks,Adobe,21,178,51623,1,238,96,5,5,5,100,5,5,142,138,1,5,1
stocks,Adobe,21,178,35041,2,238,250,1,7,4,250,7,2,12,12,0,4,1
stocks,Adobe,21,178,48346,3,238,120,7,1,5,100,1,1,118,138,0,5,1
stocks,Adobe,21,178,48774,4,238,45,5,2,6,120,5,5,193,118,1,6,1
stocks,Adobe,21,178,47169,5,238,100,5,2,2,80,5,3,138,158,0,5,1
stocks,Adobe,21,179,46627,1,238,250,6,2,5,50,4,4,12,188,0,5,1
stocks,Adobe,21,179,50055,2,238,90,7,1,7,200,1,1,148,38,1,5,1
stocks,Adobe,21,179,47668,3,238,100,4,1,3,100,1,4,138,138,0,4,1
stocks,Adobe,21,179,49594,4,238,65,3,4,4,125,4,4,173,113,1,4,1
stocks,Adobe,21,180,40357,1,238,250,7,1,3,150,5,2,12,88,0,5,1
stocks,Adobe,21,180,46221,2,238,54,4,5,7,150,3,1,184,88,1,1,1
stocks,Adobe,21,180,49790,3,238,100,7,1,5,125,2,2,138,113,1,4,1
stocks,Adobe,21,180,51086,4,238,80,6,2,4,80,2,4,158,158,0,4,1
stocks,Adobe,21,181,28340,1,238,30,5,3,4,215,5,3,208,23,1,7,1
stocks,Adobe,21,181,48897,2,238,324,5,2,6,215,3,3,86,23,1,5,1
stocks,Adobe,21,181,44254,3,238,115,5,3,2,215,2,2,123,23,1,6,1
stocks,Adobe,21,181,46026,4,238,120,5,1,5,215,4,2,118,23,1,5,1
stocks,Adobe,21,182,51644,1,238,150,4,4,4,242,7,5,88,4,1,4,1
stocks,Adobe,21,182,46179,2,238,50,7,1,7,242,7,1,188,4,1,7,1
stocks,Adobe,21,182,41302,3,238,45,6,2,4,242,6,1,193,4,1,7,1
stocks,Adobe,21,182,48276,4,238,200,7,1,7,242,6,1,38,4,1,7,1
stocks,Adobe,21,183,43023,1,238,42,6,2,5,74,2,4,196,164,1,5,1
