qtype,question,qcode,group,ID,Nametag,Correct,E1,Diff,C1,GC1,E2,C2,Mostaccurate,AEE1i,AEE2i,Ii,Prediction,Instruct
distances,Petersburg,29,241,51828,1,3759,2500,5,3,6,5000,5,2,1259,1241,1,6,0
distances,Petersburg,29,241,51052,2,3759,7000,5,3,5,5500,3,1,3241,1741,1,5,0
distances,Petersburg,29,241,51814,3,3759,1000,5,2,5,5500,6,2,2759,1741,1,6,0
distances,Petersburg,29,241,45709,4,3759,6000,5,5,4,4000,5,4,2241,241,1,5,0
distances,Petersburg,29,242,49421,2,3759,7450,6,1,3,3250,5,4,3691,509,1,7,0
distances,Petersburg,29,242,50996,3,3759,4500,5,5,5,4000,5,4,741,241,1,5,0
distances,Petersburg,29,242,51832,4,3759,3000,3,5,4,3000,5,3,759,759,0,4,0
distances,Petersburg,29,243,51694,1,3759,"10,000",5,2,7,"2,165",5,2,6241,1594,1,5,0
distances,Petersburg,29,243,45810,2,3759,2185,5,2,2,3185,2,3,1574,574,1,5,0
distances,Petersburg,29,243,48015,3,3759,"7,500",5,3,6,5750,4,2,3741,1991,1,6,0
distances,Petersburg,29,244,51235,1,3759,7000,5,5,5,6400,5,3,3241,2641,1,5,0
distances,Petersburg,29,244,40710,2,3759,4700,6,2,5,6000,5,1,941,2241,0,5,0
distances,Petersburg,29,244,43255,3,3759,5000,7,2,6,6000,5,1,1241,2241,0,7,0
distances,Petersburg,29,244,47453,4,3759,2000,7,2,7,6000,6,1,1759,2241,0,7,0
distances,Petersburg,29,245,42915,1,3759,9000,4,3,5,8500,5,2,5241,4741,1,5,0
distances,Petersburg,29,245,48697,2,3759,8000,6,3,6,9000,4,4,4241,5241,0,5,0
distances,Petersburg,29,245,44253,4,3759,8150,6,2,1,8150,2,2,4391,4391,0,4,0
distances,Petersburg,29,246,49231,1,3759,6000,5,3,2,6000,3,4,2241,2241,0,4,0
distances,Petersburg,29,246,46618,3,3759,2300,4,1,5,2300,1,4,1459,1459,0,4,0
distances,Petersburg,29,246,44272,4,3759,3000,7,2,5,5000,3,1,759,1241,0,5,0
distances,Petersburg,29,247,45908,1,3759,8500,7,1,1,4800,2,4,4741,1041,1,6,0
distances,Petersburg,29,247,46076,2,3759,1000,6,1,3,2000,1,4,2759,1759,1,5,0
distances,Petersburg,29,247,50455,3,3759,"5,000",7,7,5,"5,000",2,4,1241,1241,0,4,0
distances,Petersburg,29,247,44452,4,3759,4500,7,2,2,3100,1,3,741,659,1,4,0
distances,Petersburg,29,248,47865,1,3759,5000,6,2,4,1750,5,3,1241,2009,0,5,0
distances,Petersburg,29,248,40451,2,3759,4550,6,2,6,"3,000",3,4,791,759,1,5,0
distances,Petersburg,29,248,49261,3,3759,8500,6,6,6,3451,6,4,4741,308,1,6,0
distances,Petersburg,29,248,46304,4,3759,450,3,5,5,1500,3,3,3309,2259,1,5,0
distances,Petersburg,29,248,49585,5,3759,8500,7,1,5,4300,3,4,4741,541,1,5,0
distances,Petersburg,29,249,51669,1,3759,2000,4,4,4,3000,4,2,1759,759,1,4,0
distances,Petersburg,29,249,49266,2,3759,5000,5,2,6,5500,2,4,1241,1741,0,5,0
distances,Petersburg,29,249,48549,3,3759,5420,6,2,2,5610,2,1,1661,1851,0,4,0
distances,Petersburg,29,249,34605,4,3759,"7,000",4,4,4,6000,4,3,3241,2241,1,4,0
distances,Petersburg,29,250,51815,1,3759,4500,6,2,6,4000,4,3,741,241,1,4,0
distances,Petersburg,29,250,44090,2,3759,4000,5,3,4,4000,4,3,241,241,0,5,0
distances,Petersburg,29,250,48845,3,3759,4381,6,2,5,4000,2,1,622,241,1,3,0
distances,Petersburg,29,250,43749,4,3759,8000,6,4,5,4000,5,1,4241,241,1,5,0
distances,Petersburg,29,251,51617,1,3759,4200,5,5,5,5250,3,4,441,1491,0,5,0
distances,Petersburg,29,251,50754,2,3759,9000,4,5,6,5500,6,1,5241,1741,1,5,0
distances,Petersburg,29,251,45177,3,3759,6000,5,1,7,5500,5,1,2241,1741,1,5,0
distances,Petersburg,29,251,51161,4,3759,8565,7,2,3,5260,5,1,4806,1501,1,6,0
distances,Petersburg,29,252,50503,1,3759,3000,7,1,5,6500,5,4,759,2741,0,6,0
distances,Petersburg,29,252,51677,2,3759,3400,6,2,3,6720,4,3,359,2961,0,6,0
distances,Petersburg,29,252,48952,3,3759,8000,5,5,5,6800,6,4,4241,3041,1,6,0
distances,Petersburg,29,252,51507,4,3759,6970,6,2,4,6500,3,4,3211,2741,1,5,0
distances,Petersburg,29,253,51707,1,3759,7000,5,2,6,9000,6,4,3241,5241,0,6,0
distances,Petersburg,29,253,48911,2,3759,7000,7,1,6,9000,4,4,3241,5241,0,6,0
distances,Petersburg,29,253,741,3,3759,"5,000",6,1,6,"8,500",5,4,1241,4741,0,6,0
distances,Petersburg,29,253,51347,4,3759,9000,4,6,4,9000,4,4,5241,5241,0,4,0
distances,Petersburg,29,254,51706,1,3759,7000,7,1,3,8350,2,2,3241,4591,0,5,0
distances,Petersburg,29,254,27963,2,3759,5340,7,1,7,6420,1,5,1581,2661,0,4,0
distances,Petersburg,29,254,49595,3,3759,6000,5,5,5,7000,5,5,2241,3241,0,4,0
distances,Petersburg,29,254,38156,4,3759,6000,5,5,4,6000,5,3,2241,2241,0,4,0
distances,Petersburg,29,254,49736,5,3759,5000,6,1,4,6000,2,2,1241,2241,0,4,0
distances,Petersburg,29,255,44545,1,3759,2000,5,4,2,6000,3,2,1759,2241,0,5,0
distances,Petersburg,29,255,50195,2,3759,7000,7,1,5,5000,5,1,3241,1241,1,5,0
distances,Petersburg,29,255,29067,3,3759,"10,000",4,2,6,4550,4,1,6241,791,1,5,0
distances,Petersburg,29,255,42963,4,3759,7000,4,1,4,7000,4,2,3241,3241,0,4,0
distances,Petersburg,29,256,44379,1,3759,8100,6,2,5,4500,3,2,4341,741,1,6,0
distances,Petersburg,29,256,46239,2,3759,8000,7,1,5,4500,5,1,4241,741,1,6,0
