question,qcode,group,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
jellybean1,100,40,40798,250,75,4,4,4,4,4,4,4,140,4,4,4,5,7,7,175,110,1
jellybean1,100,40,47678,250,180,6,4,5,5,3,3,4,150,5,5,3,5,3,2,70,100,0
jellybean1,100,40,48950,250,150,3,5,4,5,6,5,3,140,6,6,2,6,3,4,100,110,0
jellybean1,100,40,50820,250,140,4,5,5,2,5,4,6,130,6,6,2,5,4,3,110,120,0
jellybean1,100,41,34605,250,125,5,4,4,5,4,4,3,140,4,4,4,4,4,5,125,110,1
jellybean1,100,41,50528,250,175,4,5,5,6,3,3,4,140,5,5,6,5,5,5,75,110,0
jellybean1,100,41,50530,250,100,4,4,5,5,4,4,4,135,4,4,4,5,5,4,150,115,1
jellybean1,100,41,50809,250,79,5,5,5,6,6,5,3,135,6,6,3,6,6,4,171,115,1
jellybean1,100,42,28220,250,110,5,3,4,3,6,6,4,150,5,5,2,6,5,6,140,100,1
jellybean1,100,42,28908,250,200,4,4,4,5,5,3,4,160,4,4,5,4,3,5,50,90,0
jellybean1,100,42,39412,250,175,4,5,5,3,5,4,4,200,5,5,4,3,3,3,75,50,1
jellybean1,100,42,50855,250,150,4,6,6,6,4,2,4,150,5,5,7,1,1,2,100,100,0
jellybean1,100,43,48240,250,100,4,5,5,4,5,6,4,200,5,5,6,5,6,4,150,50,1
jellybean1,100,43,48346,250,200,4,5,5,2,5,4,4,200,5,5,3,4,4,3,50,50,0
jellybean1,100,43,49018,250,280,6,3,6,5,4,5,4,200,5,5,5,6,6,5,30,50,0
jellybean1,100,43,50564,250,75,4,5,4,4,4,4,4,168,5,5,4,5,5,5,175,82,1
jellybean1,100,43,50733,250,150,3,4,5,5,5,5,3,160,5,5,5,5,3,4,100,90,1
jellybean1,100,44,1164,250,85,2,6,6,2,5,3,4,115,5,5,4,3,3,4,165,135,1
jellybean1,100,44,37549,250,480,5,5,5,5,6,5,4,420,6,6,4,6,6,5,230,170,1
jellybean1,100,44,48253,250,50,4,5,5,2,4,4,4,500,6,6,2,7,7,6,200,250,0
jellybean1,100,44,48290,250,275,4,4,4,6,4,4,4,300,4,4,6,4,2,2,25,50,0
jellybean1,100,44,50521,250,150,5,6,6,3,2,2,4,150,6,6,2,1,1,1,100,100,0
jellybean1,100,45,16362,250,175,7,1,1,7,5,5,4,175,2,2,6,2,2,1,75,75,0
jellybean1,100,45,39594,250,135,4,4,4,6,1,1,4,163,5,5,6,5,5,4,115,87,1
jellybean1,100,45,43110,250,220,5,2,4,7,6,3,3,170,5,5,7,6,6,5,30,80,0
jellybean1,100,45,44868,250,120,5,6,6,3,5,5,4,150,6,6,2,6,6,5,130,100,1
jellybean1,100,46,29534,250,70,1,7,7,1,6,5,4,105,6,6,1,6,2,5,180,145,1
jellybean1,100,46,30033,250,150,3,5,5,2,5,2,4,140,6,6,2,5,3,2,100,110,0
jellybean1,100,46,46533,250,120,2,6,6,2,4,4,4,120,5,5,2,3,1,1,130,130,0
jellybean1,100,46,49131,250,180,5,3,3,5,3,3,4,160,3,3,5,5,3,3,70,90,0
jellybean1,100,47,47037,250,50,3,2,4,3,5,4,4,60,5,5,6,3,5,3,200,190,1
jellybean1,100,47,48237,250,120,3,5,6,3,5,3,4,150,5,5,6,6,6,4,130,100,1
