question,qcode,group,familiar,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
jellybean4,103,101,1,27235,950,250.00,6,4,4,6,5,5,4,500.00,6,6,7,6,6,7,700,450,1
jellybean4,103,101,1,50613,950,250.00,4,5,5,3,4,4,4,300.00,5,5,3,5,4,3,700,650,1
jellybean4,103,101,1,45247,950,200.00,6,5,5,5,5,5,4,420.00,5,5,5,6,6,5,750,530,1
jellybean4,103,101,1,47363,950,400.00,5,5,4,6,3,3,4,400.00,5,5,5,5,1,5,550,550,0
jellybean4,103,101,1,50601,950,400.00,5,5,5,4,6,2,5,400.00,7,7,2,5,2,2,550,550,0
jellybean4,103,102,1,45784,950,328.00,4,5,5,7,2,2,4,1001.00,4,4,7,6,5,5,622,51,1
jellybean4,103,102,1,37544,950,275.00,3,6,6,6,6,5,5,600.00,6,6,6,6,6,3,675,350,1
jellybean4,103,102,1,50312,950,240.00,4,1,1,7,1,7,4,600.00,1,1,7,5,5,4,710,350,1
jellybean4,103,102,1,50755,950,600.00,4,5,6,4,5,3,4,1000.00,6,6,3,5,2,2,350,50,1
jellybean4,103,102,1,31277,950,618.00,1,7,7,2,7,7,5,1000.00,6,7,2,7,7,4,332,50,1
jellybean4,103,103,1,45295,950,1200.00,4,5,5,4,4,4,4,600.00,5,6,3,2,2,1,250,350,0
jellybean4,103,103,1,10208,950,540.00,5,3,5,3,3,2,5,540.00,6,5,2,5,2,1,410,410,0
jellybean4,103,103,1,27005,950,360.00,6,3,3,6,6,6,3,600.00,5,4,5,6,6,5,590,350,1
jellybean4,103,103,1,37396,950,1162.00,4,5,5,6,4,3,5,862.00,6,6,6,5,6,3,212,88,1
jellybean4,103,103,1,47513,950,582.00,4,4,4,5,5,4,4,624.00,4,4,4,4,4,2,368,326,1
jellybean4,103,104,1,50577,950,529.00,3,2,2,6,4,5,5,480.00,5,5,2,7,6,5,421,470,0
jellybean4,103,104,1,39412,950,1500.00,5,5,4,4,4,5,4,480.00,5,5,4,5,7,5,550,470,1
jellybean4,103,104,1,49646,950,250.00,5,5,5,2,6,4,6,400.00,6,6,2,7,6,4,700,550,1
jellybean4,103,104,1,45196,950,650.00,4,6,6,3,5,4,4,525.00,6,6,2,5,4,4,300,425,0
jellybean4,103,104,1,47392,950,506.00,4,4,4,6,5,4,4,465.00,5,5,5,5,4,4,444,485,0
jellybean4,103,105,0,45584,950,166.00,6,2,2,7,4,4,2,612.00,3,3,5,7,7,5,784,338,1
jellybean4,103,105,0,48232,950,1000.00,6,5,5,7,6,1,6,950.00,7,7,7,1,1,1,50,0,1
jellybean4,103,105,0,50496,950,450.00,6,2,3,5,2,1,4,450.00,4,4,5,2,1,2,500,500,0
jellybean4,103,105,0,50674,950,500.00,5,5,4,5,3,5,4,650.00,5,5,4,6,4,4,450,300,1
jellybean4,103,105,0,50678,950,250.00,6,1,1,7,6,6,2,750.00,5,5,6,6,7,6,700,200,1
jellybean4,103,106,0,28908,950,430.00,4,5,4,5,5,5,4,525.00,5,4,5,5,3,4,520,425,1
jellybean4,103,106,0,42427,950,576.00,4,4,4,7,5,2,4,576.00,4,4,6,2,1,4,374,374,0
jellybean4,103,106,0,46018,950,720.00,5,4,5,5,2,4,4,800.00,4,5,5,4,3,2,230,150,1
jellybean4,103,106,0,46630,950,300.00,5,3,3,6,5,3,4,600.00,3,3,6,6,6,5,650,350,1
jellybean4,103,106,0,50655,950,1020.00,6,2,3,7,5,6,4,500.00,3,4,7,4,7,6,70,450,0
jellybean4,103,107,0,741,950,250.00,2,5,5,2,5,5,5,750.00,6,6,2,6,6,5,700,200,1
jellybean4,103,107,0,46587,950,400.00,5,3,3,6,5,5,4,650.00,6,5,5,6,3,4,550,300,1
jellybean4,103,107,0,48047,950,5000.00,5,2,2,2,2,4,4,600.00,6,6,3,7,7,6,4050,350,1
jellybean4,103,107,0,49191,950,1000.00,5,3,3,3,5,4,4,700.00,6,6,2,6,3,4,50,250,0
jellybean4,103,108,0,45818,950,200.00,5,5,4,4,5,5,4,900.00,5,5,3,6,6,6,750,50,1
jellybean4,103,108,0,46026,950,900.00,4,3,5,6,3,5,4,1000.00,5,5,6,6,5,5,50,50,0
jellybean4,103,108,0,46352,950,878.00,7,1,1,7,4,6,4,900.00,4,5,7,6,7,5,72,50,1
jellybean4,103,108,0,50806,950,501.00,6,5,5,3,5,4,5,900.00,5,5,2,7,7,6,449,50,1
jellybean4,103,109,1,47678,950,325.00,6,3,3,5,5,3,4,400.00,4,3,5,4,5,3,625,550,1
jellybean4,103,109,1,50584,950,120.00,3,5,5,2,5,5,4,120.00,6,6,3,2,2,1,830,830,0
jellybean4,103,109,1,41439,950,612.00,6,1,3,1,1,1,5,612.00,2,2,2,1,1,1,338,338,0
jellybean4,103,109,1,41405,950,350.00,5,3,2,6,6,6,2,350.00,6,3,5,1,1,2,600,600,0
jellybean4,103,109,1,50499,950,300.00,4,4,4,7,4,4,4,300.00,4,4,7,1,1,1,650,650,0
jellybean4,103,110,1,41302,950,250.00,5,2,2,6,2,2,4,770.00,3,3,5,5,5,6,700,180,1
jellybean4,103,110,1,50521,950,800.00,6,5,5,2,6,4,4,750.00,6,6,2,5,2,2,150,200,0
jellybean4,103,110,1,44868,950,450.00,3,2,3,5,5,5,3,750.00,5,5,3,6,7,6,500,200,1
jellybean4,103,110,1,48375,950,753.00,4,5,5,7,5,3,4,800.00,5,5,7,2,2,2,197,150,1
jellybean4,103,111,1,50401,950,800.00,4,4,4,4,4,4,4,800.00,6,6,6,6,6,3,150,150,0
jellybean4,103,111,1,41299,950,1500.00,4,5,5,3,2,2,5,950.00,5,6,2,6,6,4,550,0,1
jellybean4,103,111,1,29534,950,100.00,2,6,6,1,4,4,4,800.00,5,5,5,6,6,7,850,150,1
jellybean4,103,111,1,38062,950,835.00,6,5,6,3,5,3,5,875.00,5,7,2,6,3,2,115,75,1
jellybean4,103,112,1,46533,950,230.00,3,4,4,5,5,5,4,660.00,5,6,3,6,6,5,720,290,1
jellybean4,103,112,1,50675,950,513.00,5,5,5,5,6,5,4,700.00,5,5,4,6,5,4,437,250,1
jellybean4,103,112,1,40318,950,436.00,6,2,2,6,5,5,4,700.00,5,5,5,6,6,7,514,250,1
jellybean4,103,113,0,42843,950,800.00,4,4,4,3,5,4,4,500.00,4,4,4,4,5,7,150,450,0
jellybean4,103,113,0,45673,950,1000.00,6,5,5,7,5,3,4,600.00,5,5,7,7,7,6,50,350,0
jellybean4,103,113,0,47725,950,750.00,7,4,5,5,7,6,4,560.00,6,5,6,6,5,5,200,390,0
jellybean4,103,113,0,50454,950,400.00,5,6,6,5,5,5,4,500.00,6,6,5,6,5,5,550,450,1
jellybean4,103,113,0,50625,950,400.00,5,2,2,6,6,4,5,500.00,2,2,6,5,5,4,550,450,1
jellybean4,103,114,0,1164,950,268.00,5,5,5,4,5,3,4,275.00,5,5,4,5,2,4,682,675,1
jellybean4,103,114,0,47575,950,5000.00,6,2,2,6,4,4,4,500.00,2,2,6,4,1,2,4050,450,1
jellybean4,103,114,0,49860,950,300.00,6,2,2,6,4,4,4,300.00,4,4,4,4,4,4,650,650,0
jellybean4,103,114,0,50558,950,257.00,2,4,4,6,2,3,4,326.00,5,5,4,5,5,5,693,624,1
jellybean4,103,114,0,50586,950,150.00,4,5,6,7,6,6,5,256.00,6,6,1,6,7,6,800,694,1
jellybean4,103,115,0,42447,950,300.00,4,4,6,2,4,4,4,400.00,4,4,4,4,4,4,650,550,1
jellybean4,103,115,0,43130,950,450.00,6,3,3,5,4,4,4,500.00,4,4,5,5,5,3,500,450,1
jellybean4,103,115,0,45181,950,325.00,4,4,5,5,5,5,4,600.00,5,5,5,5,5,6,625,350,1
jellybean4,103,115,0,46473,950,356.00,6,2,2,6,5,6,1,500.00,5,5,6,6,6,5,594,450,1
jellybean4,103,115,0,49131,950,300.00,6,2,2,6,5,5,4,475.00,3,3,5,6,6,6,650,475,1
jellybean4,103,116,0,45177,950,219.00,5,5,5,5,3,3,4,756.00,6,6,6,7,7,7,731,194,1
jellybean4,103,116,0,47540,950,600.00,5,2,3,5,5,5,4,800.00,5,5,4,6,5,5,350,150,1
jellybean4,103,116,0,49817,950,747.00,4,5,5,3,3,2,6,747.00,5,5,3,5,1,2,203,203,0
jellybean4,103,116,0,49911,950,791.00,4,5,2,7,2,3,4,793.00,5,5,7,5,1,4,159,157,1
jellybean4,103,117,1,50797,950,4000.00,4,2,5,4,5,4,5,2000.00,5,5,4,5,6,3,3050,1050,1
jellybean4,103,117,1,29570,950,3000.00,6,3,5,5,6,2,4,2000.00,5,5,4,7,7,3,2050,1050,1
jellybean4,103,117,1,43535,950,116.00,6,2,2,6,6,6,2,1000.00,3,3,7,4,6,7,834,50,1
jellybean4,103,117,1,50644,950,260.00,6,4,5,3,6,6,4,1000.00,6,6,3,7,7,6,690,50,1
jellybean4,103,118,1,20036,950,600.00,3,4,4,2,5,5,5,600.00,4,5,4,4,4,4,350,350,0
