qtype,question,qcode,group,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
dates,Penn,1,1,45177,1740,1820,5,2,2,5,6,6,4,1752,6,6,2,6,6,7,80,12,1
dates,Penn,1,1,46018,1740,1785,6,4,5,4,5,5,4,1768,3,5,5,5,5,5,45,28,1
dates,Penn,1,1,46587,1740,1764,5,3,3,6,5,5,4,1764,5,5,3,5,2,4,24,24,0
dates,Penn,1,1,50379,1740,1779,3,5,6,2,6,6,4,1768,6,6,2,7,6,5,39,28,1
dates,Penn,1,2,42930,1740,1870,6,1,1,5,7,7,2,1840,5,3,6,6,6,4,130,100,1
dates,Penn,1,2,48799,1740,1801,3,6,7,2,7,6,2,1784,6,7,5,5,5,4,61,44,1
dates,Penn,1,2,50367,1740,1845,4,5,6,1,6,4,7,1845,1,4,4,4,3,4,105,105,0
dates,Penn,1,3,46341,1740,1896,3,2,2,2,5,5,5,1880,2,2,3,5,5,2,156,140,1
dates,Penn,1,3,47512,1740,1882,6,2,4,5,5,5,4,1882,3,5,5,4,3,2,142,142,0
dates,Penn,1,3,50499,1740,1600,6,4,4,6,7,7,1,1800,4,4,5,5,5,6,140,60,1
dates,Penn,1,4,27005,1740,1741,6,2,2,5,5,5,4,1876,2,2,6,5,5,5,1,136,0
dates,Penn,1,4,28908,1740,1791,4,5,5,3,5,3,4,1791,3,3,5,3,3,1,51,51,0
dates,Penn,1,4,40762,1740,1876,6,5,5,5,6,5,3,1876,6,6,3,6,1,4,136,136,0
dates,Penn,1,4,48907,1740,1876,3,7,7,1,6,3,5,1876,7,7,1,4,2,2,136,136,0
dates,Penn,1,5,38058,1740,1876,5,4,4,5,5,6,3,1800,5,5,5,5,5,4,136,60,1
dates,Penn,1,5,38616,1740,1887,5,2,2,5,5,4,1,1717,3,3,5,4,4,5,147,23,1
dates,Penn,1,5,45091,1740,1712,5,2,2,5,5,4,4,1741,6,6,2,6,5,6,28,1,1
