"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","is_central","task","trial","dataset","group_id","subject","confidence"
"1",1,"Unemployment",221,"Dem",4.7,4.7,5,4.9,"D","decentralized",1,1,NA,4.7,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","221D1decentralized1Dem",NA
"2",2,"Unemployment",262,"Dem",4.4,4.4,4.4,4.9,"D","decentralized",1,1,NA,4.4,4.4,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","262D1decentralized1Dem",NA
"3",3,"Election",262,"Dem",250,300,225,224.6,"D","decentralized",1,1,NA,250,225,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","262D1decentralized1Dem",NA
"4",4,"Taxes",213,"Dem",15,18,18,14.6,"D","decentralized",1,1,NA,15,18,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","213D1decentralized1Dem",NA
"5",5,"Election",263,"Dem",50,100,20,224.6,"D","decentralized",1,1,NA,50,20,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","263D1decentralized1Dem",NA
"6",6,"Taxes",214,"Dem",12,14,14,14.6,"D","decentralized",1,1,NA,12,14,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","214D1decentralized1Dem",NA
"7",7,"Election",222,"Dem",200,216,205,224.6,"D","decentralized",1,1,NA,200,205,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","222D1decentralized1Dem",NA
"8",8,"California",263,"Dem",67,60,60,60.2,"D","decentralized",1,1,NA,67,60,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","263D1decentralized1Dem",NA
"9",9,"Election",212,"Dem",250,328,329,224.6,"D","decentralized",1,1,NA,250,329,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","212D1decentralized1Dem",NA
"10",10,"Taxes",202,"Dem",35,20,39,14.6,"D","decentralized",1,1,NA,35,39,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","202D1decentralized1Dem",NA
"11",11,"Unemployment",233,"Dem",6,6,6,4.9,"D","decentralized",1,1,NA,6,6,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","233D1decentralized1Dem",NA
"12",12,"Election",202,"Dem",150,200,190,224.6,"D","decentralized",1,1,NA,150,190,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","202D1decentralized1Dem",NA
"13",13,"Taxes",233,"Dem",15,18,20,14.6,"D","decentralized",1,1,NA,15,20,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","233D1decentralized1Dem",NA
"14",14,"Unemployment",219,"Dem",5,5,5,4.9,"D","decentralized",1,1,NA,5,5,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","219D1decentralized1Dem",NA
"15",15,"Election",208,"Dem",250,248,245,224.6,"D","decentralized",1,1,NA,250,245,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","208D1decentralized1Dem",NA
"16",16,"Election",228,"Dem",234,232,234,224.6,"D","decentralized",1,1,NA,234,234,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","228D1decentralized1Dem",NA
"17",17,"Taxes",208,"Dem",22,NA,NA,14.6,"D","decentralized",1,1,NA,22,NA,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","208D1decentralized1Dem",NA
"18",18,"Election",213,"Dem",215,248,268,224.6,"D","decentralized",1,1,NA,215,268,NA,"Election","D1decentralized1Dem","becker 2019","decentralizedElectionD1decentralized1Dem","213D1decentralized1Dem",NA
"19",19,"California",220,"Dem",40,39,39,60.2,"D","decentralized",1,1,NA,40,39,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","220D1decentralized1Dem",NA
"20",20,"Unemployment",213,"Dem",5,4.8,4.8,4.9,"D","decentralized",1,1,NA,5,4.8,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","213D1decentralized1Dem",NA
"21",21,"Taxes",228,"Dem",15,17,20,14.6,"D","decentralized",1,1,NA,15,20,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","228D1decentralized1Dem",NA
"22",22,"Unemployment",263,"Dem",9,5,4.7,4.9,"D","decentralized",1,1,NA,9,4.7,NA,"Unemployment","D1decentralized1Dem","becker 2019","decentralizedUnemploymentD1decentralized1Dem","263D1decentralized1Dem",NA
"23",23,"Taxes",212,"Dem",25,39,35,14.6,"D","decentralized",1,1,NA,25,35,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","212D1decentralized1Dem",NA
"24",24,"California",202,"Dem",45,48,5.4,60.2,"D","decentralized",1,1,NA,45,5.4,NA,"California","D1decentralized1Dem","becker 2019","decentralizedCaliforniaD1decentralized1Dem","202D1decentralized1Dem",NA
"25",25,"Taxes",263,"Dem",18.3,18,18,14.6,"D","decentralized",1,1,NA,18.3,18,NA,"Taxes","D1decentralized1Dem","becker 2019","decentralizedTaxesD1decentralized1Dem","263D1decentralized1Dem",NA
