"ID","question","Correct","E1","E2","C1","group","study"
45177,"Penn",1740,"1820","1752",2,1,"1a"
46018,"Penn",1740,"1785","1768",4,1,"1a"
46587,"Penn",1740,"1764","1764",3,1,"1a"
50379,"Penn",1740,"1779","1768",5,1,"1a"
42930,"Penn",1740,"1870","1840",1,2,"1a"
48799,"Penn",1740,"1801","1784",6,2,"1a"
50367,"Penn",1740,"1845","1845",5,2,"1a"
46341,"Penn",1740,"1896","1880",2,3,"1a"
47512,"Penn",1740,"1882","1882",2,3,"1a"
50499,"Penn",1740,"1600","1800",4,3,"1a"
27005,"Penn",1740,"1741","1876",2,4,"1a"
28908,"Penn",1740,"1791","1791",5,4,"1a"
40762,"Penn",1740,"1876","1876",5,4,"1a"
48907,"Penn",1740,"1876","1876",7,4,"1a"
38058,"Penn",1740,"1876","1800",4,5,"1a"
38616,"Penn",1740,"1887","1717",2,5,"1a"
45091,"Penn",1740,"1712","1741",2,5,"1a"
48232,"Penn",1740,"1741","1741",5,5,"1a"
48543,"Penn",1740,"1741","1741",3,5,"1a"
1164,"Penn",1740,"1810","1802",4,6,"1a"
36251,"Penn",1740,"1792","1805",5,6,"1a"
43263,"Penn",1740,"1706","1802",4,6,"1a"
48346,"Penn",1740,"1885","1885",5,6,"1a"
49830,"Penn",1740,"1800","1875",5,6,"1a"
16362,"Penn",1740,"1905","1790",1,7,"1a"
32122,"Penn",1740,"1700","1746",4,7,"1a"
40355,"Penn",1740,"1780","1780",3,7,"1a"
48253,"Penn",1740,"1814","1749",4,7,"1a"
29534,"Penn",1740,"1787","1787",6,8,"1a"
45633,"Penn",1740,"1783","1760",3,8,"1a"
47046,"Penn",1740,"1749","1792",6,8,"1a"
48157,"Penn",1740,"1763","1816",7,8,"1a"
44124,"Penn",1740,"1763","1740",3,9,"1a"
44280,"Penn",1740,"1734","1740",6,9,"1a"
44545,"Penn",1740,"1740","1740",7,9,"1a"
45667,"Penn",1740,"1791","1740",6,9,"1a"
48835,"Penn",1740,"1660","1740",5,9,"1a"
43535,"Penn",1740,"1850","1740",2,10,"1a"
43722,"Penn",1740,"1890","1740",2,10,"1a"
47540,"Penn",1740,"1740","1740",7,10,"1a"
49191,"Penn",1740,"1850","1740",4,10,"1a"
50521,"Penn",1740,"1800","1740",7,10,"1a"
42018,"Penn",1740,"1758","1764",5,11,"1a"
46416,"Penn",1740,"1785","1764",5,11,"1a"
47344,"Penn",1740,"1824","1764",4,11,"1a"
49449,"Penn",1740,"1764","1764",6,11,"1a"
45087,"Penn",1740,"1793","1740",5,12,"1a"
46260,"Penn",1740,"1804","1740",2,12,"1a"
47998,"Penn",1740,"1740","1740",6,12,"1a"
50441,"Penn",1740,"1700","1740",4,12,"1a"
33181,"Penn",1740,"1736","1740",1,13,"1a"
33497,"Penn",1740,"1740","1740",7,13,"1a"
40172,"Penn",1740,"1918","1730",4,13,"1a"
49131,"Penn",1740,"1785","1740",3,13,"1a"
50628,"Penn",1740,"1800","1740",5,13,"1a"
49942,"Penn",1740,"1743","1740",5,14,"1a"
50454,"Penn",1740,"1850","1740",5,14,"1a"
50455,"Penn",1740,"1790","1740",5,14,"1a"
50504,"Penn",1740,"1810","1740",5,14,"1a"
40173,"Penn",1740,"1850","1740",4,15,"1a"
44235,"Penn",1740,"1740","1740",7,15,"1a"
49594,"Penn",1740,"1800","1740",4,15,"1a"
50440,"Penn",1740,"1735","1740",6,15,"1a"
593,"Penn",1740,"1795","1795",4,16,"1a"
45284,"Penn",1740,"1781","1781",5,16,"1a"
46221,"Penn",1740,"1800","1781",1,16,"1a"
30407,"Penn",1740,"1800","1746",6,17,"1a"
44938,"Penn",1740,"1784","1746",2,17,"1a"
49037,"Penn",1740,"1746","1746",7,17,"1a"
50623,"Penn",1740,"1684","1746",3,17,"1a"
37235,"Penn",1740,"1775","1740",5,18,"1a"
37544,"Penn",1740,"1792","1740",6,18,"1a"
38286,"Penn",1740,"1740","1740",7,18,"1a"
49963,"Penn",1740,"1886","1740",4,18,"1a"
37448,"Penn",1740,"1820","1748",4,19,"1a"
43048,"Penn",1740,"1760","1756",5,19,"1a"
47392,"Penn",1740,"1802","1756",1,19,"1a"
49595,"Penn",1740,"1775","1756",5,19,"1a"
43817,"Penn",1740,"1820","1736",5,20,"1a"
45143,"Penn",1740,"1740","1740",6,20,"1a"
50528,"Penn",1740,"1690","1730",5,20,"1a"
50530,"Penn",1740,"1836","1736",3,20,"1a"
45041,"Penn",1740,"1767","1768",5,21,"1a"
50585,"Penn",1740,"1789","1767",4,21,"1a"
50613,"Penn",1740,"1790","1767",5,21,"1a"
46304,"Penn",1740,"1740","1740",6,22,"1a"
49211,"Penn",1740,"1750","1740",5,22,"1a"
50501,"Penn",1740,"1826","1740",5,22,"1a"
50577,"Penn",1740,"1696","1740",6,22,"1a"
20036,"Penn",1740,"1792","1792",4,23,"1a"
31919,"Penn",1740,"1783","1790",5,23,"1a"
45196,"Penn",1740,"1775","1775",6,23,"1a"
45953,"Penn",1740,"1780","1772",2,23,"1a"
40798,"Penn",1740,"1818","1742",4,24,"1a"
48047,"Penn",1740,"1853","1790",7,24,"1a"
48375,"Penn",1740,"1734","1737",5,24,"1a"
50584,"Penn",1740,"1780","1734",2,24,"1a"
37396,"Penn",1740,"1772","1772",6,25,"1a"
45848,"Penn",1740,"1783","1772",2,25,"1a"
47421,"Penn",1740,"1780","1782",3,25,"1a"
48904,"Penn",1740,"1800","1740",4,25,"1a"
49320,"Penn",1740,"1783","1783",6,25,"1a"
45352,"Penn",1740,"1800","1776",2,26,"1a"
46660,"Penn",1740,"1776","1776",5,26,"1a"
49860,"Penn",1740,"1796","1796",2,26,"1a"
50572,"Penn",1740,"1850","1776",2,26,"1a"
50600,"Penn",1740,"1740","1760",5,26,"1a"
20330,"Penn",1740,"1870","1740",5,27,"1a"
42485,"Penn",1740,"1868","1740",3,27,"1a"
47037,"Penn",1740,"1938","1740",2,27,"1a"
48513,"Penn",1740,"1740","1740",7,27,"1a"
50460,"Penn",1740,"1770","1740",2,27,"1a"
38156,"Penn",1740,"1784","1754",4,28,"1a"
43902,"Penn",1740,"1790","1784",2,28,"1a"
44208,"Penn",1740,"1780","1784",2,28,"1a"
47554,"Penn",1740,"1754","1748",6,28,"1a"
50519,"Penn",1740,"1760","1754",5,28,"1a"
45337,"Penn",1740,"1845","1785",5,29,"1a"
49347,"Penn",1740,"1780","1780",5,29,"1a"
50023,"Penn",1740,"1870","1790",2,29,"1a"
50536,"Penn",1740,"1836","1786",3,29,"1a"
50638,"Penn",1740,"1864","1786",2,29,"1a"
42427,"Penn",1740,"1740","1740",7,30,"1a"
43392,"Penn",1740,"1743","1740",1,30,"1a"
45580,"Penn",1740,"1765","1740",5,30,"1a"
49279,"Penn",1740,"1774","1740",5,30,"1a"
50401,"Penn",1740,"1897","1740",4,30,"1a"
36716,"Penn",1740,"1765","1740",5,31,"1a"
40379,"Penn",1740,"1740","1740",4,31,"1a"
41302,"Penn",1740,"1822","1740",2,31,"1a"
46618,"Penn",1740,"1741","1740",7,31,"1a"
47955,"Penn",1740,"1700","1740",3,31,"1a"
49261,"Penn",1740,"1670","1740",3,31,"1a"
43926,"Penn",1740,"1778","1740",5,32,"1a"
45282,"Penn",1740,"1778","1740",6,32,"1a"
48519,"Penn",1740,"1760","1740",3,32,"1a"
49153,"Penn",1740,"1740","1740",7,32,"1a"
41405,"Penn",1740,"1762","1830",5,33,"1a"
49157,"Penn",1740,"1815","1753",5,33,"1a"
50419,"Penn",1740,"1800","1763",2,33,"1a"
50516,"Penn",1740,"1789","1789",7,33,"1a"
39658,"Penn",1740,"1929","1740",7,34,"1a"
42447,"Penn",1740,"1800","1740",4,34,"1a"
43650,"Penn",1740,"1680","1740",2,34,"1a"
48518,"Penn",1740,"1740","1740",7,34,"1a"
45355,"Penn",1740,"1800","1781",2,35,"1a"
49504,"Penn",1740,"1789","1789",5,35,"1a"
50149,"Penn",1740,"1768","1768",6,35,"1a"
50586,"Penn",1740,"1556","1786",3,35,"1a"
44268,"Penn",1740,"1817","1744",3,36,"1a"
46881,"Penn",1740,"1815","1742",5,36,"1a"
47056,"Penn",1740,"1740","1742",5,36,"1a"
48146,"Penn",1740,"1744","1744",4,36,"1a"
50579,"Penn",1740,"1763","1742",3,36,"1a"
43924,"Penn",1740,"1796","1740",5,37,"1a"
45194,"Penn",1740,"1806","1742",5,37,"1a"
45577,"Penn",1740,"1740","1740",4,37,"1a"
45632,"Penn",1740,"1762","1740",5,37,"1a"
50515,"Penn",1740,"1780","1740",6,37,"1a"
741,"Penn",1740,"1770","1790",2,38,"1a"
42453,"Penn",1740,"1785","1790",5,38,"1a"
42705,"Penn",1740,"1790","1790",3,38,"1a"
49585,"Penn",1740,"1800","1790",2,38,"1a"
42880,"Penn",1740,"1792","1746",2,39,"1a"
48580,"Penn",1740,"1724","1746",5,39,"1a"
48756,"Penn",1740,"1902","1746",2,39,"1a"
49976,"Penn",1740,"1753","1746",6,39,"1a"
45177,"Declaration",1776,"1776","1776",5,1,"1a"
46018,"Declaration",1776,"1765","1776",5,1,"1a"
46587,"Declaration",1776,"1776","1776",6,1,"1a"
50379,"Declaration",1776,"1774","1776",5,1,"1a"
42930,"Declaration",1776,"1776","1776",6,2,"1a"
48799,"Declaration",1776,"1776","1776",5,2,"1a"
50367,"Declaration",1776,"1776","1776",6,2,"1a"
46341,"Declaration",1776,"1868","1776",3,3,"1a"
47512,"Declaration",1776,"1776","1776",7,3,"1a"
50499,"Declaration",1776,"1776","1776",6,3,"1a"
27005,"Declaration",1776,"1776","1776",3,4,"1a"
28908,"Declaration",1776,"1776","1776",5,4,"1a"
40762,"Declaration",1776,"1776","1776",7,4,"1a"
48907,"Declaration",1776,"1776","1776",5,4,"1a"
38058,"Declaration",1776,"1768","1776",5,5,"1a"
38616,"Declaration",1776,"1776","1776",7,5,"1a"
45091,"Declaration",1776,"1776","1776",6,5,"1a"
48232,"Declaration",1776,"1742","1776",2,5,"1a"
48543,"Declaration",1776,"1776","1776",7,5,"1a"
1164,"Declaration",1776,"1776","1776",7,6,"1a"
36251,"Declaration",1776,"1776","1776",7,6,"1a"
43263,"Declaration",1776,"1667","1776",6,6,"1a"
48346,"Declaration",1776,"1776","1776",7,6,"1a"
49830,"Declaration",1776,"1845","1776",5,6,"1a"
16362,"Declaration",1776,"1776","1776",5,7,"1a"
32122,"Declaration",1776,"1776","1776",4,7,"1a"
40355,"Declaration",1776,"1776","1776",5,7,"1a"
48253,"Declaration",1776,"1776","1776",4,7,"1a"
29534,"Declaration",1776,"1776","1776",7,8,"1a"
45633,"Declaration",1776,"1850","1776",1,8,"1a"
47046,"Declaration",1776,"1776","1776",7,8,"1a"
48157,"Declaration",1776,"1713","1776",3,8,"1a"
44124,"Declaration",1776,"1776","1776",6,9,"1a"
44280,"Declaration",1776,"1776","1776",7,9,"1a"
44545,"Declaration",1776,"1776","1776",7,9,"1a"
45667,"Declaration",1776,"1776","1776",7,9,"1a"
48835,"Declaration",1776,"1776","1776",7,9,"1a"
43535,"Declaration",1776,"1776","1776",6,10,"1a"
43722,"Declaration",1776,"1776","1776",5,10,"1a"
47540,"Declaration",1776,"1776","1776",6,10,"1a"
49191,"Declaration",1776,"1767","1776",4,10,"1a"
50521,"Declaration",1776,"1776","1776",7,10,"1a"
42018,"Declaration",1776,"1776","1776",7,11,"1a"
46416,"Declaration",1776,"1776","1776",7,11,"1a"
47344,"Declaration",1776,"1776","1776",4,11,"1a"
49449,"Declaration",1776,"1776","1776",5,11,"1a"
45087,"Declaration",1776,"1776","1776",6,12,"1a"
46260,"Declaration",1776,"1776","1776",6,12,"1a"
47998,"Declaration",1776,"1776","1776",6,12,"1a"
50441,"Declaration",1776,"1776","1776",6,12,"1a"
33181,"Declaration",1776,"1776","1776",7,13,"1a"
33497,"Declaration",1776,"1770","1776",4,13,"1a"
40172,"Declaration",1776,"1942","1776",4,13,"1a"
49131,"Declaration",1776,"1776","1776",7,13,"1a"
50628,"Declaration",1776,"1775","1776",5,13,"1a"
49942,"Declaration",1776,"1776","1776",6,14,"1a"
50454,"Declaration",1776,"1776","1776",6,14,"1a"
50455,"Declaration",1776,"1776","1776",5,14,"1a"
50504,"Declaration",1776,"1776","1776",6,14,"1a"
